"ID";"Type";"Translation";"Text"
"0";"button";"Button";"Zur Auswertung"
"14";"field";"Frage";"campID"
"1";"field";"Frage";"Wo speichert Ihr Unternehmen hauptsächlich die geschäftlichen Daten für den täglichen Gebrauch?"
"1";"choice";"Antwort";"Lokal auf dem Computer oder auf einer externen Festplatte"
"1";"choice";"Antwort";"Auf einem Server im Büro oder einem Netzwerkspeicher (NAS)"
"1";"choice";"Antwort";"Auch in einem Online-Speicher (Cloud), wie beispielsweise OneDrive"
"1";"choice";"Antwort";"Ausschliesslich in einem Online-Speicher."
"7";"nextButton";"Vorwärts-Button";"Weiter"
"7";"previousButton";"Zurück-Button";"Zurück"
"2";"field";"Frage";"Können Sie auch von ausserhalb des Unternehmens alle Aufgaben und Meetings gleichermassen erledigen, wie wenn Sie im Büro am Computer sitzen?"
"2";"choice";"Antwort";"Nein, ausserhalb des Büroarbeitsplatzes können wir nicht auf unsere Daten zugreifen."
"2";"choice";"Antwort";"Teilweise ja, einige relevante Arbeiten sind heute jedoch noch nicht möglich, da auf bestimmte Programme nicht zugegriffen werden kann (z.B. CRM, ERP, Buchhaltung)."
"2";"choice";"Antwort";"Ja, der geräte-, zeit- und ortsunabhängige Zugriff auf geschäftliche Daten und Programme ist gewährleistet."
"8";"nextButton";"Vorwärts-Button";"Weiter"
"8";"previousButton";"Zurück-Button";"Zurück"
"13";"field";"Frage";"Können Sie flexibel auf veränderte Anforderungen reagieren, wie beispielsweise die Inbetriebnahme eines zusätzlichen Servers oder die Umstellung auf Homeoffice?"
"13";"choice";"Antwort";"Nein, unsere Reaktionszeit ist verzögert und es dauert lange, bis wir reagieren können."
"13";"choice";"Antwort";"Ja, wir können schnell auf Veränderungen reagieren und entsprechende Anpassungen vornehmen."
"12";"nextButton";"Vorwärts-Button";"Weiter"
"12";"previousButton";"Zurück-Button";"Zurück"
"3";"field";"Frage";"Welches ist das wichtigste Speichermedium für die Datensicherung (das Backup) in Ihrem Unternehmen?"
"3";"choice";"Antwort";"Ein lokaler Datenspeicher (z.B. eine externe Festplatte)"
"3";"choice";"Antwort";"Ein lokaler Netzwerkspeicher (NAS)"
"3";"choice";"Antwort";"Die Cloud"
"9";"nextButton";"Vorwärts-Button";"Weiter"
"9";"previousButton";"Zurück-Button";"Zurück"
"4";"field";"Frage";"Arbeiten Sie mit externen Dienstleistern zusammen, um den Betreuungsaufwand für die Informatik zu senken (z. B. für Software-Updates oder Hardware-Ersatz)?"
"4";"choice";"Antwort";"Nein, wir betreuen die Informatik selbst und haben entsprechend intern einen hohen Aufwand dafür."
"4";"choice";"Antwort";"Wir betreiben die IT vor Ort, haben aber die Betreuung an einen externen Partner delegiert und müssen uns nicht darum kümmern."
"4";"choice";"Antwort";"Wir nutzen Cloud-Angebote (Managed Services) und haben einen grossen Teil unserer Infrastruktur ausgelagert."
